text,hypothesis,majority_label
a girl,little girl,entailment
higher than,up by,independent
water,tap water,entailment
a boy,a man,alternation
naturally,significantly,independent
base of,body of,other-related
little,a little boy,entailment
card,nobody,independent
military,say,independent
alone,woman,independent
live,part,independent
offer,stock,independent
president of,the presidency of,equivalence
the loss of,lose their,entailment
la,routine,independent
activity,resource,independent
city,committee,other-related
appear,exist,other-related
production,world,independent
the council,minister,entailment
last,more,independent
sound,was,independent
book,tale,entailment
being,tuesday,independent
do,say,entailment
commander,the head,equivalence
card,trick,other-related
use a,wear a,independent
's name,name is,equivalence
is,la,independent
food,meal,entailment
kill,explode,entailment
another man,man,equivalence
europe,european council,entailment
down,out,independent
been,interpret,independent
leave,will leave,other-related
the start of,the first,entailment
confirm,have,independent
play,sport,other-related
court,hospital,independent
international atomic,international atomic energy,entailment
benefit,good,other-related
still,the past,independent
low,off,independent
drew,team,independent
concert,group,independent
little,the kid,independent
david,davis,independent
geneva,work,independent
night .,"overnight ,",other-related
effect,offer,independent
announce,claim,other-related
hussein,iraqi,other-related
get,to have,independent
have,use,entailment
lead,man,independent
co.,corp.,equivalence
perform,play,other-related
on terror .,on terrorism .,entailment
backup,team,independent
do,now,independent
iraq,iraq 's,equivalence
only,use,independent
city,tower,independent
president,trichet,independent
asia,asian,entailment
a large,very large,entailment
push,wear,independent
book,writer,alternation
was,was killed,entailment
damage,loss,other-related
other,state,independent
deep,water,other-related
chief,inquiry,independent
industry,the automobile industry,entailment
floor,walk,other-related
get,hold,independent
a film,movie,equivalence
let,there is,independent
stand,wait,other-related
candidate 's,election,other-related
board,computer,independent
center,agency,entailment
democrat,social democrat,entailment
a bunch,a group,equivalence
prime,prime minister,entailment
human,un,independent
world,central,entailment
man,table,independent
award,good,independent
repair,set,independent
corner,turn,other-related
coalition,iraq,independent
publish,use,independent
announce,was,independent
office,presidency,other-related
dance,stage,other-related
table,table tennis,other-related
remote,use,independent
capture,count,independent
people,traffic,independent
least,most,alternation
family,national,independent
consider,serve,independent
site,soldier,independent
first,report,independent
pakistani,south,independent
cold,weather,independent
landscape,terrain,equivalence
many,young,independent
a group,a raft,independent
canada,remote,independent
channel,world,independent
blow,fire,independent
water is,drink water,entailment
european,treaty,independent
talks with,peace talks,entailment
enforcement,stop,independent
campus,complex,entailment
population,'s population,entailment
being,fly,independent
china,sector,independent
interview,journalist,other-related
atlanta,olympic game,other-related
sea,woman,independent
output,oil output,entailment
control,identify,independent
aid,front,independent
deal,review,independent
are performing,perform,equivalence
weapon,nuclear,entailment
more than,so far,independent
attend,remain,independent
do,have,independent
month,march,entailment
baby,child,entailment
kill in,take place in,independent
injure,seriously injure,entailment
", say","night ,",independent
first,president,independent
offer,was,independent
lane,start,independent
dog,drink,independent
live,number,independent
coast of,west coast,entailment
play,run,entailment
man,write,independent
was,were found,independent
more,a higher proportion,entailment
even,out,independent
the black,black man,entailment
been,harvest,independent
things,different things,entailment
government,policy,other-related
mouth,talk,other-related
country 's,ukraine 's,entailment
have,take place,independent
site,hall,entailment
common,union,independent
investment,stock,entailment
back,other,independent
request,review,independent
britain,germany,alternation
country .,"iraq ,",entailment
dirt,mud,entailment
the road,walk,other-related
the bank,world bank,entailment
union,the eu,entailment
demonstrate,hold,independent
france,government,other-related
front,guide,independent
minister,secretary,independent
very big,grand,entailment
child,a little boy,entailment
president,statement,independent
green,white,alternation
day,sit,independent
put,type,independent
black,dirty,independent
dream,night,entailment
u.s. soldier,us soldier,equivalence
the govern council,'s governing council,entailment
"east ,",is the,independent
commissioner of,commissioner 's,entailment
of the unite,the u.n.,independent
air,reduce,independent
do,go,independent
drive,past,independent
take a,were,independent
find a,finding new,equivalence
beautiful,pool,independent
and white,white man,other-related
even,more,independent
grow by,was up,independent
was,was reached,entailment
drive a,the driver,other-related
aircraft,base,other-related
equipment to,equipment use,alternation
is a,the fact,independent
woman,young,other-related
