truth,hypothesis,majority_label
early sunday,sunday,hyponym
child is,young child,hypernym
first month,month,hyponym
have nothing,they have,antonym
again,at least,independent
friday,iraq,independent
are,table,independent
call,emergency,hypernym
dead,were killed,synonym
become,keep,alternation
ben,more than,independent
official,out,independent
suicide,suicide bomber,hypernym
member,rule,independent
is,wish,independent
dog,puppy,hypernym
have,track,independent
lie,sleep,other-related
movement,muslim,independent
early,works,independent
's first,in his first,hypernym
mountain,range,other-related
back,government,independent
family,time,independent
activity,report,other-related
have a,is playing,independent
assassinate,were killed,hyponym
reduce,reducing,synonym
bank,israeli,independent
mexico,mexico 's,synonym
financial,officer,independent
live in,people live,other-related
drink,juice,hypernym
oppose,towards,independent
associate,press,independent
algerian,bouteflika,other-related
back,iraq,independent
chase,run,hyponym
health,people,independent
full,hike,independent
board,person,independent
a piece,paper,other-related
huge,man,independent
future,price,independent
box,cat,independent
bring into,enter into,hyponym
company,newspaper,hypernym
as well,have,independent
cannabis,weed,synonym
a man,young man,hypernym
been effective in,lead to,other-related
commission,population,independent
damage,loss of,other-related
the global,the world .,synonym
are not,right,independent
fire,weapon,other-related
deter the,stop the,synonym
person is,which is,hyponym
play the,to play,other-related
death penalty is,punishment is,hyponym
a cluster of,group of,hyponym
elect,seat,other-related
crime,punishment,other-related
do,someone,independent
environmentally,the environment,synonym
business,professional,other-related
law school,school,hyponym
child,individual,hyponym
official say,were wounded,independent
a boy,baby,hypernym
european,sweden,hypernym
carry a,hold by a,other-related
activity .,environment .,independent
leaders to,political leaders,hypernym
not,something,independent
different,large,independent
pollution,pollution prevention,hypernym
kill,shoot to death,hypernym
election,record,other-related
headquarters,is located,other-related
the forest,tree,hypernym
do,stop,antonym
north,relations,independent
council of,to be,independent
sunday,west,independent
a view,potential,independent
policy,strategy,hyponym
drug,good,independent
come,people,independent
play,roll,independent
do,rock,hypernym
area,group,independent
girl is,woman is,alternation
subject,was,independent
of norway,of sweden,alternation
a person,another guy,hypernym
african,ivory,independent
lead,road,independent
say,space,independent
hat,vest,other-related
angel,los angeles,independent
cuba,unite state,other-related
meet,meeting,synonym
black,light,hyponym
item,were,independent
"israel ,",the palestinian,independent
more than,off,independent
un,up,independent
a kid,man,alternation
pink,red,alternation
issue,say,independent
be enough,stop,independent
subject to,there is a,independent
gun,phone,independent
union,vote,other-related
council of europe,of the european,other-related
government,indian,other-related
is,present,alternation
arafat,yasser arafat,hypernym
have,lose,antonym
give,give them,hypernym
shirt,tail,independent
level,weapon,independent
"increase ,",is rising,synonym
's independence,independence,synonym
cell,phone,other-related
chief,up,independent
bring,lead,hypernym
first,income,independent
china,the people 's,independent
man,the same,independent
the girl,the little girl,hypernym
commission,dream,independent
the treaty,union,other-related
in germany,the german,other-related
something,word,independent
county,home,independent
commercial,company,other-related
cluster of,group,synonym
a member,member of the,hypernym
pose a,were a,independent
british,iraq,independent
care,services,other-related
cost,rise,independent
body,child,hypernym
enable,fail,antonym
gold,golden,hypernym
slightly,woman,independent
giving,introduction,independent
canada,measure,independent
a girl,one woman,alternation
budget,security,other-related
many,one or more,hyponym
chief,former,independent
%,report,independent
few,several,synonym
baby,man,alternation
go,say,independent
israeli,sharon 's,independent
policy,report,independent
blade,man,independent
a father,dad,hyponym
is,only,independent
muslim,shiite,other-related
's first,his first,hyponym
right,woman,independent
say the,was,independent
small,surface,independent
fallujah,iraq,hyponym
chairman,the head,hyponym
board,joining,independent
a clear,is a,independent
and watch,look at,hyponym
water,wood,independent
threat,time,independent
iraq,minister,independent
car,side,independent
general,government,other-related
in japan,tokyo,hypernym
example,language,independent
aim at,try to,hyponym
more,remain,independent
been,prompt,independent
reform,system,independent
comment,player,independent
coast of,off the coast,hypernym
hamas,militant,independent
people are,person,hypernym
new,partnership,independent
do,very,independent
have,new,independent
have,participate,independent
civic,people,other-related
african,political,independent
charter,council,independent
demonstrate,take,independent
passenger,travel,other-related
construction,decision,independent
of the unite,over the,independent
red,tan,alternation
's capital,the capital,synonym
boy,the kid,hyponym
birth,year,other-related
health,october,independent
clear water,water,hyponym
report,the document,hyponym
iraqi capital,of baghdad,other-related
pattern,rose,independent
court in,"justice ,",other-related
mountain,ski,other-related
future,possible,independent
person 's,someone 's,hypernym
air travel,travel is,other-related
alan,years,independent
estimate,level,independent
the chinese government,the government,hyponym
earlier,part,independent
air,air travel,other-related
guard,official,hyponym
garden,park,hypernym
lead,system,independent
environment,protection,other-related
animal,top,independent
kill,was murdered,other-related
cyprus,freedom,independent
fight,the war,hypernym
add the,say the,hyponym
social,world,independent
a person,someone 's,hypernym
several,several person,hypernym
china,minister,other-related
agency,member,hypernym
found,more,independent
aim,have,independent
medicine,use,independent
party,take,independent
important,series,independent
catch,stand,independent
indonesia,indonesian,hypernym
monday,oil,independent
can be found,is located,synonym
israel .,the israeli,hypernym
history,tell,alternation
river,road,independent
part,role as,hypernym
annual,was,independent
bear,direct,independent
boys,kid,hyponym
key,living,independent
a game,playing,other-related
activity,grant,independent
soldier,u.s.,independent
adopt,european,independent
blair 's,"blair ,",synonym
event,place,independent
administrative,part,independent
a baby,child,hyponym
a doll,baby,other-related
european,high,independent
kid,toddler,hypernym
congressional,member,other-related
out in,part of,independent
curb,cut,independent
crash .,fail .,hyponym
net,year,independent
interim,iraq,independent
being,spread,independent
is doing,kid,independent
alert,high alert,hypernym
child,other,independent
a piece,object,hypernym
datum,show,independent
middle,path,hyponym
line,start,independent
cyprus,solution,independent
bomb,bomb attack,hypernym
is the,say that,other-related
eat,meat,other-related
provide,to help,other-related
show that,suggest that the,other-related
diversity,indigenous,other-related
direct,inspire,independent
shot,sniper,hypernym
